application to change the location of a proceeding,demande de changement du lieu d'une procédure
application to enter and remain in Canada,demande d'entrée et de séjour au Canada
"application to join (applications, claims)",demande de jonction (de demandes (d'asile)
application to reinstate (an application),demande de rétablissement (d'une demande)
application to reopen,demande de réouverture
application to sponsor (a foreign national); application for sponsorship; sponsorship application ,demande de parrainage (d'un étranger)
application to vacate refugee protection,demande d'annulation de l'asile
application to withdraw a refugee protection claim,demande de retrait d'une demande d'asile
apprehension of bias,crainte de partialité
arguable claim for refugee protection,demande d'asile défendable
argument,argument
arrest warrant; warrant for arrest,mandat d'arrêt; mandat d'arrestation
"assign a member, to",assigner un commissaire; affecter un commissaire; désigner un commissaire
assignment court,audience de mise au rôle
assistant deputy chairperson (ADC) ,vice-président adjoint (VPA) 
assisted relative,parent aidé
associate deputy minister (ADM) ,sous-ministre délégué (SMD) 
atrocious persecution,acte de persécution atroce
"authority to, to have (resolve an appeal)",être autorisé à; être compétent pour (régler un appel)
authority to arrest and detain,pouvoir d'arrêter et de détenir
authorization to enter and remain in Canada,autorisation d'entrée et de séjour au Canada
authorized stay; lawfully staying (in a country),séjour autorisé; présence autorisée (dans un pays)
authors cited,doctrine citée
availability of state protection,disponibilité de la protection de l'État
average processing time,délai moyen de traitement
"BRC (see Business Requirements Committee) ","CEF (voir Comité sur les exigences de fonctionnement) "
backlog,arriéré
bail; bond,cautionnement
"balance of probabilities, on a",selon la prépondérance des probabilités
believed on substantial grounds to exist,s'il y a des motifs sérieux de le croire
benefit of the doubt,bénéfice du doute
best evidence rule,règle de la meilleure preuve
bias,partialité
binding,contraignant; d'application obligatoire; obligatoire; ayant force exécutoire
"binding decision; decision binding on; bound by a decision, to be",décision d'application obligatoire; être lié par une décision
binding precedent,précédent d'application obligatoire; précédent faisant autorité
Board/Bar Liaison Committee,Comité de liaison de la Commission et du Barreau
bogus claimant,faux demandeur d'asile
boilerplate (in reasons for decision),formule type (dans les motifs de décisions)
bona fide; genuine ,authentique; véritable
bond; bail,cautionnement
"bound by a decision, to be; decision binding on; binding decision",être lié par une décision; décision d'application obligatoire
breach (n.) ; non-compliance; failure to comply ,"infraction (à une règle, à une loi); manquement (à une obligation, à un engagement, à la justice, à la loi, à un règlement, à une règle); violation (de la loi); non-respect(des conditions); inobservation (d'une obligation)"
"breach, to; contravene, to; infringe, to",violer; contrevenir; enfreindre
breach of natural justice,manquement à la justice naturelle; entorse à la justice naturelle
Briefing Book for Members,Cahier d'information à l'intention des commissaires
briefing NOTE ,NOTE d'information; NOTE documentaire
"bring to a hearing/proceeding, to",amener à une audience/à une procédure
burden of proof; onus of proof,fardeau de la preuve; charge de la preuve
business line training program,programme de formation axée sur les secteurs d'activité
business modelling,établissement d'un modèle de fonctionnement
Business Plan,Plan d'activités
Business Requirements Committee (BRC) ,Comité sur les exigences de fonctionnement (CEF) 
"CA (see Court of Appeal) ","CA (voir Cour d'appel) "
"CAIRS (see Coordination of the Access to Information Requests System) ","SCDAI (voir Système de coordination des demandes d'accès à l'information) "
"CAIS (see Central Accounting Information System) ","SICC (voir Système d'information de la comptabilité centrale) "
"CAT (see Convention Against Torture) ","CCT (voir Convention contre la torture) "
"CBM (see competency-based management) ","GAC (voir gestion axée sur les compétences) "
"CBT (see computer-based training) ",formation automatisée
"CC (see case clerk) ","CPC (voir commis préposé aux cas) "
"CCAT (see Canadian Council of Administrative Tribunals) ","CTAC (voir Conseil des tribunaux administratifs canadiens) "
"CCM (see Correspondence Control Management) ","SGCC (voir Système de gestion du contrôle de la correspondance) "
"CCPP (see Consultative Committee on Practices and Procedures) ","CCPP (voir Comité consultatif sur les pratiques et les procédures) "
"CCR (see Canadian Council for Refugees) ","CCR (voir Conseil canadien pour les réfugiés) "
"CEC (see Chairperson's Executive Committee) ","CDP (voir Comité de direction du président) "
"CESB (see Communications and Executive Services Branch) ","DGCSHD (voir Direction générale des communications et des services à la haute direction) "
"CGWG (see Consolidated Grounds Working Group) ","GTMR (voir Groupe de travail sur les motifs regroupés) "
"CHRP (see Contextual and Human Rights Packages) ","DFDIDP (voir Documentation de fond et Dossiers d'information sur les droits de la personne) "
"CIC (see Citizenship and Immigration Canada) ","CIC (voir Citoyenneté et Immigration Canada) "
"CLF (see Core Learning Framework) ","PPA (voir Programme prioritaire d'apprentissage) "
"CLF Standards and Guidelines (seeCommon Look and Feel Standards and Guidelines) ",Normes et lignes directrices sur la normalisation des sites Internet
"CLIC (see Canadian Law Information Council) ","CCDJ (voir Conseil canadien de la documentation juridique) "
"CLP (see Core Learning Program) ","PPA (voir Programme prioritaire d'apprentissage) "
"CLPR (see country of last permanent residence) ","PDRP (voir pays de dernière résidence permanente) "
"CM (see coordinating member) ","CC (voir commissaire coordonnateur) "
"CMA (see case management assistant) ","AGC (voir adjoint à la gestion des cas) "
"CMB (see Change Management Board) ","CGC (voir Conseil de gestion du changement) "
"CMD (see Corporate Management Directorate) ","DGI (voir Direction de la gestion intégrée) "
"CMF (see case management framework) ","CGC (voir cadre de gestion des cas) "
"CMG (see Case Management Group) ","GGC (voir groupe de gestion des cas) "
"CMM (seeCase Management Manual) ","MGC (voirManuel de gestion des cas) "
"CMO (see case management officer) ","AGC (voir agent de gestion des cas) "
"CMPO (see case management planning officer) ","APGC (voir agent de planification de la gestion des cas) "
"CMS (see Case Management System) ","SGC (voir Système de gestion des cas) "
"CMT (see Case Management Team) ","EGC (voir équipe de gestion des cas) "
"CO (see case officer) ","APC (voir agent préposé aux cas) "
"COI Working Group (see Country-of-Origin Information (COI) Working Group) ",Groupe de travail des renseignements sur les pays d'origine
"COIU (see Country-of-Origin Information Unit) ","SRPO (voir Section de la recherche sur les pays d'origine) "
"COO (see chief operating officer) ",administrateur en chef des opérations (ACF) 
"CPMPD (see Corporate Planning and Management Practices Directorate) ","DPGPG (voir Direction de la planification générale et des pratiques de gestion) "
"CPO (see case presenting officer) ","APC (voir agent de présentation des cas) "
"CPSB (see Corporate Planning and Services Branch) ","DGPSI (voir Direction générale de la planification et des services intégrés) "
"CRC (seeConvention on the Rights of the Child[ UN] ) ","CRDE (voirConvention relative aux droits de l'enfant[ ONU] ) "
"CRDD (see Convention Refugee Determination Division)NOTE Now called Refugee Protection Division (RPD) under IRPA. ","SSR (voir Section du statut de réfugié)NOTA Maintenant appelée Section de la protection des réfugiés (SPR) sous le régime de la LIPR. "
"CSB (see Corporate Services Branch) ","DGSG (voir Direction générale des services de gestion) "
"CTMS (see Claim Type Management System) ","SGTDDA (voir Système de gestion des types de données concernant les demandes d'asile) "
"call a witness, to",convoquer un témoin; faire comparaître un témoin
Canadian citizen,citoyen canadien
Canadian Council for Refugees (CCR) ,Conseil canadien pour les réfugiés (CCR) 
Canadian Council of Administrative Tribunals (CCAT) ,Conseil des tribunaux administratifs canadiens (CTAC) 
Canadian Law Information Council (CLIC) ,Conseil canadien de la documentation juridique (CCDJ) 
Canadian refugee protection system,processus canadien d'asile; processus canadien de protection des réfugiés</p> 
"cancel, to (a resident permit, a stay, a stay of removal; conditions)","révoquer (un permis de séjour, un sursis, le sursis d'une mesure de renvoi); lever (des conditions)"
"case, to present a",présenter son cas; présenter sa preuve; présenter son exposé des faits
Case Analysis Notes,notes d'analyse du cas
case clerk (CC) ,commis préposé aux cas (CPC) 
case flow,suivi des cas; acheminement des cas
case law,jurisprudence
caseload,charge de travail; nombre de cas
case management,gestion des cas
case management assistant (CMA) ,adjoint à la gestion des cas (AGC) 
case management framework (CMF) ,cadre de gestion des cas (CGC) 
Case Management Group (CMG) ,groupe de gestion des cas (GGC) 
Case Management Manual (CMM) ,Manuel de gestion des cas (MGC) 
case management officer (CMO) ,agent de gestion des cas (AGC) 
case management planning officer (CMPO) ,agent de planification de la gestion des cas (APGC) 
Case Management System (CMS) ,Système de gestion des cas (SGC) 
Case Management Team (CMT) ,équipe de gestion des cas (EGC) 
case manager,gestionnaire de cas
case officer (CO) ,agent préposé aux cas (APC) 
case presenting officer (CPO)[Citizenship and Immigration Canada],agent de présentation des cas (APC)[Citoyenneté et Immigration Canada]
case referred to,arrêt mentionné
case scheduling,mise au rôle des cas
case screened,cas ayant fait l'objet d'un examen initial
case screening,examen initial du cas
case-specific,se rapportant à un cas particulier; propre à un cas
cash bond,cautionnement en espèces
Central Accounting Information System (CAIS) ,Système d'information de la comptabilité centrale (SICC) 
Central Records,Service central des dossiers
central repository of decisions,répertoire central des décisions
Central Services,Services centraux
certificate of departure,attestation de départ
certificate of transcript,certificat de transcription
cessation clause,clause de cessation
cessation of refugee protection,perte de l'asile
chairperson,président
Chairperson's Award Committee,Comité des primes du président
Chairperson's Executive Committee (CEC) ,Comité de direction du président (CDP) 
change in country conditions,changement des conditions dans le pays
Change Management Board (CMB) ,Conseil de gestion du changement (CGC) 
Change Management Steering Committee,Comité directeur de gestion du changement
change of circumstances in the country of origin,changement de circonstances dans le pays d'origine
change of date or time,changement de la date ou de l'heure
change of location,changement du lieu
Charter argument,argument fondé sur la Charte
Charter challenge,contestation fondée sur la Charte
Charter issue,question qui fait intervenir la Charte; question qui se rapporte à la Charte; question portant sur des dispositions de la Charte
chief executive officer,premier dirigeant
chief operating officer (COO) ,administrateur en chef des opérations (ACF) 
Child Refugee Claimants: Procedural and Evidentiary IssuesNOTE Chairperson's guidelines.,Les enfants qui revendiquent le statut de réfugié : Questions relatives à la preuve et à la procédureNOTA Directives du président.
Chinese birth control-based claim,demande d'asile invoquant la politique de contrôle des naissances de la Chine
circumstances of the case,circonstances de l'espèce
circumstantial evidence,preuve circonstancielle
citizenship,citoyenneté
Citizenship and Immigration Canada (CIC) ,Commission de la citoyennetéNOTA Tribunal administratif séparé de Citoyenneté et Immigration Canada.
civil and political rights,droits civils et politiques
Civilian Non-Combatants Fearing Persecution in Civil War Situations,Civils non combattants qui craignent d'être persécutés dans des situations de guerre civile
civil standard of proof,norme civile de preuve
civil war,guerre civile
civil war claim,demande d'asile liée à la guerre civile
Civil War GuidelinesNOTE Short title of the guidelines entitled Civilian Non-Combatants Fearing Persecution in Civil War Situations. ,Directives concernant la guerre civileNOTA Titre abrégé des directives intitulées Civils non combattants qui craignent d'être persécutés dans des situations de guerre civile. 
claimant; person who claims refugee protection; refugee claimant; refugee protection claimant,demandeur(e) d'asile; personne qui demande l'asileNOTA Auparavant appelé « revendicateur ».
Claimant's Confirmation of Readiness letter,lettre de confirmation de la disponibilité du demandeur d'asile
claimant-specific information,renseignements précis sur le demandeur d'asile
claimant-specific research,recherche de renseignements précis sur un demandeur d'asile
claim for a remedy,demande de réparation
claim for refugee protection; refugee protection claim,demande d'asileNOTA Auparavant appelée « revendication » sous le régime de la Loi sur l'immigration. 
claim for refugee protection determined; finalized claim for refugee protection,demande d'asile réglée
claim for refugee protection heard,demande d'asile entendue
claim for refugee protection pending,demande d'asile en instance
"claim in Canada; claim inside Canada [ IRPA, 99(3)] ","demande d'asile faite au Canada [ LIPR, 99(3)] "
claim ineligible to be referred; ineligible claim,demande d'asile irrecevable
"claim inside Canada; claim in Canada [ IRPA, 99(3)] ","demande d'asile faite au Canada [ LIPR, 99(3)] "
"claim outside Canada [ IRPA, 99(2)] ","demande d'asile faite à l'étranger [ LIPR, 99(2)] "
claims for refugee protection heard separately,demandes d'asile entendues séparément
Claim Type Management System (CTMS) ,Système de gestion des types de données concernant les demandes d'asile (SGTDDA) 
class; stream (n.) ,catégorie
Classification Operations Division,Section des opérations de classification
clear evidence,preuve manifeste
client identification number,numéro d'identification du client
Client Services,Services à la clientèle
"closed hearing; private hearingNOTE A hearing that is closed to the public. Formerly called ""in-camera hearing"" under the Immigration Act. ",audience à huis closNOTA Audience tenue sans la présence du public.
Code of Conduct for Interpreters,Code de conduite des interprètes
Code of Conduct for Members of the Immigration and Refugee Board of Canada,Code de déontologie des commissaires de la Commission de l'immigration et du statut de réfugié du Canada
collateral,accessoire
coming into force (n.) ,entrée en vigueur
commencement of appeal,formation de l'appel
CommentaryNOTE Legal Services documents.,CommentairesNOTA Documents des Services juridiques auparavant appelés « Observations ».
common crime; non-political crime; ordinary law crime,crime de droit commun
common-law partner,conjoint de fait
common-law partnership,relation de conjoint de fait
Common Look and Feel Standards and GuidelinesNOTE Treasury Board guidelines.,Normes et lignes directrices sur la normalisation des sites InternetNOTA Lignes directrices du Conseil du Trésor.
common purpose,intention commune
common rules,règles communes
"Communications and Executive Services Branch (CESB)NOTE Formerly called ""Executive Secretariat Branch (ESB)"" . ",Direction générale des communications et des services à la haute direction (DGCSHD)NOTA Auparavant appelée « Direction générale du secrétariat de la haute direction (DGSHD) » . 
Communications DirectorateNOTE Formerly called Public and Parliamentary Affairs Directorate.,Direction des communicationsNOTA Auparavant appelée Direction des affaires publiques et parlementaires.
compellability,contraignabilité
compelling evidence,preuve péremptoire; preuve contraignante
compelling reasons,raisons impérieuses
competencyNOTE Refers to whether a person has the mental capacity to testify.,capacitéNOTA Capacité mentale d'une personne de témoigner.
competency-based management (CBM) ,gestion axée sur les compétences (GAC) 
completed appeal,appel réglé
completed reasons; reasons completed,motifs rédigés
complex claim,demande d'asile complexe
computer-based training (CBT) ,formation automatisée
co-national,compatriote
concealment (of a material fact),dissimulation (d'un fait important)
conceded case,cas non contesté
conclusive evidence,preuve concluante
concurring reasons,motifs concordants
condemned by the international community,condamné par la communauté internationale
conditional departure order,mesure d'interdiction de séjour conditionnelle
conditional deportation order,mesure d'expulsion conditionnelle
conditional removal order,mesure de renvoi conditionnelle
conditions in his country of nationality,conditions dans le pays dont il a la nationalité
conditions of the stay,conditions du sursis
"conduct a hearing, to",tenir une audience
"conduct a proceeding in private, to",tenir une procédure à huis clos
conduct in the workplace,comportement en milieu de travail
"confer refugee protection, to; grant refugee protection, to",conférer l'asile
confidentiality,confidentialité
conflict of interest,conflit d'intérêts
conjugal partner,partenaire conjugal
conjugal partnership,relation de partenaire conjugal
conjugal relationship,relation conjugale
conscientious objection,objection de conscience
conscientious objector,objecteur de conscience
"consent, on",sur consentement
consent judgment,jugement sur consentement
consent of the Minister,autorisation ministérielle; autorisation du ministre
consent order,ordonnance sur consentement
"consideration (of a [refugee protection] claim, of an application for protection)",examen; étude; saisine (d'une demande d'asile)
consideration for others,respect des autres
consistency in decision making,cohérence dans la prise de décisions
consistent decisions,décisions cohérentes
consolidated grounds for/of protection; consolidated protection grounds,motifs de protection regroupés
Consolidated Grounds Working Group (CGWG) ,Groupe de travail sur les motifs regroupés (GTMR) 
consolidated protection grounds; consolidated grounds for/of protection,motifs de protection regroupés
Consultative Committee on Practices and Procedures (CCPP) ,Comité consultatif sur les pratiques et les procédures (CCPP) 
contact information,coordonnées
Contextual and Human Rights Packages (CHRP) ,Documentation de fond et Dossiers d'information sur les droits de la personne (DFDIDP) 
"Contextual Package (see Contextual and Human Rights Packages) ","Documentation de fond (voir Documentation de fond et Dossiers d'information sur les droits de la personne) "
Contingency Plan Working Group,Groupe de travail sur les plans d'intervention d'urgence
"continue, to (a proceeding, a hearing); resume, to (a proceeding, a hearing, an admissibility hearing); reconsider, to (an appeal)","reprendre (l'étude d'une demande d'asile, une audience, une procédure, une affaire, une enquête, un appel)"
continued detention,maintien en détention
"contravene, to; infringe, to; breach, to",contrevenir; enfreindre; violer
"Convention Against Torture (CAT)NOTE Short title of the Convention Against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment. ","Convention contre la torture (CCT)NOTA Titre abrégé de la Convention contre la torture et autres peines ou traitements cruels, inhumains ou dégradants. "
Convention on the Rights of the Child (CRC) [ UN] ,Convention relative aux droits de l'enfant (CRDE) [ ONU] 
Convention refugee,réfugié au sens de la Convention
Convention Refugee Determination Division (CRDD)NOTE Now called Refugee Protection Division (RPD) under IRPA. ,Section du statut de réfugié (SSR)NOTA Maintenant appelée Section de la protection des réfugiés (SPR) sous le régime de la LIPR. 
Convention refugees abroad class,catégorie des réfugiés au sens de la Convention outre-frontières
"conviction on indictment, on; indictment, by way of; indictment, on conviction on",par mise en accusation
coordinating member (CM) ,commissaire coordonnateur (CC) 
Coordination of the Access to Information Requests System (CAIRS) ,Système de coordination des demandes d'accès à l'information (SCDAI) 
"coordinator, Reception Service",coordonnateur des services d'accueil
Core Learning Framework (CLF); Core Learning Program (CLP) ,Programme prioritaire d'apprentissage (PPA) 
Corporate Accounting,Comptes généraux
corporate adviser,conseiller national
Corporate Fund,Fonds généraux
Corporate Management and Services,Gestion et services généraux
Corporate Management Directorate (CMD) ,Direction de la gestion intégrée (DGI) 
Corporate Planning and Management Practices Directorate (CPMPD) ,Direction de la planification générale et des pratiques de gestion (DPGPG) 
"Corporate Planning and Services Branch (CPSB)NOTE Formerly called Corporate Services Branch, which then included human resources management responsibilities. The latter have been transfered to the newly created Human Resources and Professional Development Branch. The CPSB now assumes responsibility for the strategic planning function as well as reporting to Parliament. ","Direction générale de la planification et des services intégrés (DGPSI)NOTA Auparavant appelée Direction générale des services de gestion, qui incluait alors la gestion des ressources humaines. Ces responsabilités ont été transférées à la nouvelle Direction générale des ressources humaines et du perfectionnement professionnel. La DGPSI intègre maintenant les responsabilités de planification stratégique et des rapports au Parlement. "
Corporate Priorities and Performance Targets,Objectifs de rendement et priorités globales
"Corporate Resourcing, Classification and Official Languages","Ressourcement, classification et langues officielles, siège de la CISR"
Corporate Security at NHQ; NHQ Corporate Security ,Services de sécurité du siège de la Commission
Corporate Services Branch (CSB) ,Direction générale des services de gestion (DGSG) 
Corporate Staffing,Service national de dotation
corporate training program,programme de formation générale
correct in law; valid in law (with regard to a decision),fondé en droit; valide en droit (en parlant d'une décision)
Correspondence Control Management (CCM) ,Système de gestion du contrôle de la correspondance (SGCC) 
counsel,conseil
counsel of record,conseil inscrit au dossier
country conditions,conditions dans le(s) pays
country of alleged persecution,pays présumé de persécution
country of former habitual residence,pays de résidence habituelle antérieure
country of last permanent residence (CLPR) ,pays de dernière résidence permanente (PDRP) 
country of origin,pays d'origine; pays de naissance
"Country-of-Origin Information (COI) Working GroupNOTE Group associated with the Intergovernmental Consultations (IGC) on Asylum, Refugee and Migration Policies in Europe, North America and Australia. ","Groupe de travail des renseignements sur les pays d'origineNOTA Sous l'égide du Groupe des consultations intergouvernementales (GCI) sur les politiques d'asile, de reconnaissance du statut de réfugié et de migration en Europe, en Amérique du Nord et en Australie. "
Country-of-Origin Information Unit (COIU)NOTE Formerly called Information Services Unit (ISU) ,Section de la recherche sur les pays d'origine (SRPO)NOTA Auparavant appelée Section des services de renseignements (SDSR) 
Country-of-Origin Research,Recherche sur les pays d'origine
country of reference,pays de référence
Country Reports on Human Rights PracticesNOTE Document published by the United States Department of State.,Country Reports on Human Rights PracticesNOTA Document publié par le Département d'État des États-Unis.
country specialization,spécialisation par pays
"Court of Appeal (CA) (see Federal Court of Appeal) ","Cour d'appel (CA) (voir Cour d'appel fédérale) "
court of competent jurisdiction,tribunal compétent
court of record,cour d'archives
court order,ordonnance du tribunal
credibility assessment,évaluation de la crédibilité
credibility finding,conclusion quant à la crédibilité
credible basis,minimum de fondement
credible basis test,critère du minimum de fondement
credible basis tribunal,tribunal chargé de statuer sur le minimum de fondement
credible or trustworthy evidence,élément de preuve crédible ou digne de foi
crime against humanity,crime contre l'humanité
Crimes Against Humanity and War Crimes Act,Loi sur les crimes contre l'humanité et les crimes de guerre
criminality check,vérification judiciaire
criminal law,droit criminel; droit pénal
criminal offence,infraction criminelle; infraction pénale; infraction à la loi pénale
criminal organization,organisation criminelle
criminal refusal,refus pour des raisons de criminalité; refus pour des raisons d'ordre criminel
criminal standard of proof,norme de preuve en matière pénale
criterion; test,critère
cross-cultural awareness; cross-cultural sensitivity,sensibilisation aux différences culturelles (ou interculturelles); sensibilisation aux disparités culturelles (ou interculturelles) 
cross-cultural communication,communication interculturelle
cross-cultural sensitivity; cross-cultural awareness,sensibilisation aux disparités culturelles (ou interculturelles); sensibilisation aux différences culturelles (ou interculturelles) 
cross-examination,contre-interrogatoire
cruel and unusual treatment or punishment,traitements ou peines cruels et inusités
cultural sensitivity; cultural sensitization,sensibilisation aux réalités culturelles
"custody, in",en détention
customized training program,programme de formation sur mesure
"DA (see departmental assessment) ","EM (voir évaluation ministérielle) "
